Hash,Date,Author,Message,IsMerge
72f559e1a379cd63e913db66b3b1bd779a867955,2016-11-25 11:46:37,John-David Dalton,Exit early from `getSymbols` if `object` is nullish.,False
2f92d55024036c2f99a73170825689f477c8afa9,2016-11-25 11:46:05,Ophir LOJKINE,Clarify `_.isEqual` docs on comparing functions and DOM nodes. [closes #2849] [ci skip],False
5a86b67263ac1d1d8b16aa69e756fd773223aa80,2016-11-25 11:28:40,John-David Dalton,Minor engines field format nit.,False
bea4b29bc4df47a6df2c7017b215933c05b99f5c,2016-11-25 11:11:10,John-David Dalton,Remove unneeded `Object` coercions.,False
0cd4134bc6b8831aacff48710f7f0ac761cc7f1a,2016-11-25 11:11:10,John-David Dalton,Fix Android 5.1 test fails.,False
ec74813be6f3b4005e6e85c3aec9d02028a3b039,2016-11-24 11:37:26,John-David Dalton,Add non-enumerable symbol tests.,False
67926a4df2abcdccad42ba4af5257700d5a12907,2016-11-24 11:37:26,John-David Dalton,Minor test nit.,False
40a591d0c0fc642716c8d572cc30294182969857,2016-11-24 11:37:26,John-David Dalton,Test `_.isEqual` crawls symbol properties.,False
783e03ffa304b1f037fee5218b158ecb5907c2c1,2016-11-24 11:37:26,John-David Dalton,Simplify `baseIsEqualDeep` now that `getSymbols` returns only enumerable symbols.,False
1dddf27a39bac9891fac1110af9a87b001c5b584,2016-11-24 11:37:26,John-David Dalton,Include only enumerable symbols in `getSymbols` result. [closes #2845],False
2890eabf663ebe1dfef624e21b9a699bc2e6543c,2016-11-22 11:04:21,John-David Dalton,Replace `isObject` use with `isObjectLike` in `baseIsEqual`.,False
a3e077324a187ff5002036dde70d1e20346c000f,2016-11-22 11:04:21,John-David Dalton,Add support for comparing symbol properties to `_.isEqual`. [closes #2840],False
86ee93650d0a14baca743c49df4fcc4e53c840ce,2016-11-22 11:04:21,John-David Dalton,Flip iteratee arguments for `fp.reduceRight`.,False
dd0d984d37258e5644721a3d376e8fcd50b08df3,2016-11-22 11:04:21,John-David Dalton,Add `customOmitClone` helper.,False
eba18891e57a31b851a92b8c529124c9e01b8a64,2016-11-22 11:04:20,John-David Dalton,Rename private spread helper to `flatSpread`.,False
5cb80a0a84629c7e19d04a434adeeec2940c78e7,2016-11-20 11:09:27,John-David Dalton,Disable headings link icons in marky-markdown.,False
db14f324f6b077a7ed0bb3c5494debe55ae16e96,2016-11-20 11:09:27,John-David Dalton,Increment package version to enable ci tests.,False
238defb150153331c5c84884797f43eeb3612abe,2016-11-20 11:09:27,John-David Dalton,Bump to v4.17.2.,False
53ba1e0c3c1e06e8e4a0dcc12d7bd54c2152e879,2016-11-20 11:09:19,John-David Dalton,Rebuild lodash and docs.,False
95d3477c220070eaa695f4acc676d142653298c4,2016-11-16 11:34:15,John-David Dalton,Fix code style nits.,False
a06d1a0313801b5918b98cbc57af50938ebe3ac9,2016-11-16 11:17:03,John-David Dalton,Add `_.omit` and `_.pick` tests for keys over paths.,False
330c8cb46e38e597e5cb2be9969a952e45afece6,2016-11-16 11:16:14,John-David Dalton,Cleanup path tests.,False
da2e8a103086924cd100368db2c87f1680e3a200,2016-11-16 09:48:53,John-David Dalton,Minor var order nit.,False
5bc9e6b8bd4d22f67d29e1dcd7d9fdf1fcf3b68d,2016-11-16 07:49:11,John-David Dalton,Avoid double cloning for the common case in `_.omit`.,False
9a02bd5fc7ab402fa7b698537b8ecce6dd7401b7,2016-11-16 07:37:27,John-David Dalton,Simplify `baseUnset`.,False
89656fdf4abeca41b81566dab51f992ca7a18301,2016-11-16 00:11:11,John-David Dalton,Don’t treat a picked path as deep if it exists as a property of the object. [closes #2826],False
4cb7bea97d1585e6a92a2dc48585a45f34e6ac8f,2016-11-16 00:11:11,John-David Dalton,Ensure `_.spread` doesn’t include arguments after those spread. [closes #2825],False
eb4861c3cd6b2d4b9a85ecc822c9469e9a0773c3,2016-11-16 00:11:11,John-David Dalton,Increment package version to enable ci tests.,False
170c13b5ba5e9862ce3ac2284e2d7896dcfe1c6d,2016-11-15 10:07:42,John-David Dalton,Bump to v4.17.1.,False
26a6117889a40f652957721876144e1aa7df43e0,2016-11-15 10:01:46,John-David Dalton,Rebuild lodash and docs.,False
014982cb2c4e75680bf30938695389406623d4c7,2016-11-15 07:02:52,John-David Dalton,Remove `isKey` use from `invokeMap`.,False
058361e222ab7a1250da568ba2cdc4f2737c66df,2016-11-15 05:07:46,John-David Dalton,Move the `isKey` check into `castPath`.,False
e344b66af9460c82e279b2f88b014feb5b4dd865,2016-11-15 01:34:52,John-David Dalton,Cleanup `_.omit`.,False
54cb3599e346f2c8a965a87ec97601109184516d,2016-11-15 00:11:38,John-David Dalton,Fix yarn runs in travis by pinning to v0.16.1.,False
6c427b7a260183685b16d2624351529cda25ce81,2016-11-14 23:27:39,John-David Dalton,Avoid deep cloning of `_.omit` result.,False
ce093845e11dce3cf5cb896f33e47985b294650b,2016-11-14 14:36:35,John-David Dalton,Ensure `_.pick` supports path arrays. [closes #2809],False
102c5f00d76096059cb6e1a8f9cf082dc6488334,2016-11-14 14:19:47,John-David Dalton,Ensure `_.pickBy` doesn’t treat keys with dots as deep paths. [closes #2808],False
13d315a93b0f3c9288e6267a50a804b967e9257b,2016-11-14 14:19:41,John-David Dalton,Increment package version to enable ci tests.,False
2cc247ddf895d3c258e35ae841711f17787a88ed,2016-11-14 12:19:29,John-David Dalton,Bump to v4.17.0.,False
5488644658bab23132a57d6f1cc5ed6b25899101,2016-11-11 23:10:37,John-David Dalton,Rebuild lodash and docs.,False
1fe904295383277c526d0af4c97b2edb697f08bf,2016-11-11 23:10:33,John-David Dalton,Update coveralls and platform.js deps.,False
8bde34dda0b7ca27b99649211b016cede066a593,2016-11-11 03:20:35,John-David Dalton,Update optional marky-markdown dep to 9.0.1.,False
98720bea4acc64223a3755c56bed153d555df9e6,2016-11-11 03:02:10,greenkeeper[bot],Update optional-dev-dependency to 2.0.0.,False
032637bba1103c93bf99ba19d29b8ecd5660de67,2016-11-11 01:09:18,John-David Dalton,Update core error text. [ci skip],False
dadde87cab309e898a1088cb0119ed3c4e1da134,2016-11-08 22:06:02,John-David Dalton,Consolidate ternary in `baseClone`.,False
fcd0bbfc5623f3f0c6fd79d5ab579cba38674fab,2016-11-08 21:05:20,John-David Dalton,Correct bitmask flag order. [ci skip],False
600fbbadfba939d1c5a8b9eb667816d152ca3ec7,2016-11-08 14:33:41,John-David Dalton,Cleanup `_.omit`.,False
3d0df11e50351aba52ad259f82823baffe917ef2,2016-11-08 12:30:31,John-David Dalton,Add `bitmask` to `baseClone`.,False
2e4c997dba9d5226cc8c20508fd1eab31173f339,2016-11-08 12:30:31,John-David Dalton,Use more clear condition in unclonable test.,False
5aaf7e40aec203dbfa6e311a79588f68e85a43d8,2016-11-08 12:30:21,John-David Dalton,Cleanup deep path tests.,False
57703b040d879479920a0e16c6f135dfe2e4caaa,2016-11-07 07:37:49,John-David Dalton,Rename param `props` to `paths`.,False
c6ff776147b56c80c69d7b44e81d0241cf225a14,2016-11-07 06:45:38,John-David Dalton,Use `baseGet` and `baseSet` in `basePickBy`.,False
9ac729e1bc8f57f9f826187828184c5604a036a2,2016-11-07 06:32:41,Aviv Rosental,Add deep functionality for `_.omit` and `_.pick`.  (#2794),False
6d951ccc87f3cc867252a507e7d177c12badf3d5,2016-11-07 00:41:01,Jhen-Jie Hong,Fix freeProcess.binding(util) usage (#2793),False
3217118faba6d08f979309e4a533d23779d467a8,2016-11-06 13:09:13,John-David Dalton,Add more `_.spread` tests.,False
6ef973ae3340ce2ce5fa94464cce69e7ef893990,2016-11-06 12:43:16,John-David Dalton,Avoid trailing slice unless needed.,False
e0a65ac34a5d83588f6fe5e3943811f8eaa1ffb1,2016-11-06 12:41:53,John-David Dalton,Cleanup fp tests.,False
b833d83a3e485f9222d207dcf439a352ccfa608a,2016-11-06 12:41:53,John-David Dalton,Add tests for “AllWith” fp methods.,False
220713109c1e38e6eff513cfdc1bfe560b203d8f,2016-11-06 12:41:53,John-David Dalton,Capitalize Lodash in header. [ci skip],False
cafb9822ce85b76d4a2527a899f1ca9608090de1,2016-11-06 12:41:48,John-David Dalton,Refine combo mark ranges.,False
